,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,posemo,interrog,number,quant,affect,negemo,compare,social,anx,anger,sad,risk,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,money,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,175,68.29,45.45,9.53,85.64,25.0,14.86,87.43,52.57,13.14,6.29,3.43,0.0,1.71,0.57,0.57,6.86,6.86,13.71,8.0,4.57,8.0,1.14,18.29,6.86,0.07616666666666670,0.57,0.0,2.86,6.29,0.039901995099755000,0.10291029102910300,0.1258,0.0,0.0,1.14,0.07695769576957700,0.0,1.14,0.57,0.0,10.29,0.57,1.71,1.71,4.0,0.0,4.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.71,1.71,5.14,2.29,4.57,0.088008800880088,3.43,12.57,0.57,6.86,1.14,4.0,1.71,4.57,0.0,0.0,0.0,1.14,1.71,0.0,1.71,0.0,0.0,0.0,5.71,4.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0
1,118,63.55,17.56,62.32,14.14,13.11,14.41,78.81,55.08,10.17,5.93,1.69,0.0,1.69,0.0,2.54,4.24,8.47,11.86,10.17,5.08,6.78,4.24,13.56,2.54,0.014166666666666700,2.54,6.78,0.85,2.54,0.05915295764788240,0.050705070507050700,0.1356,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,19.49,0.0,3.39,0.85,1.69,3.39,11.86,0.85,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,1.69,0.85,0.07458745874587460,4.24,11.02,0.0,10.17,0.0,8.47,1.69,0.85,0.0,0.0,0.0,0.0,1.69,0.0,1.69,0.0,0.0,0.0,13.56,7.63,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69
2,145,28.35,39.12,43.37,85.87,18.12,15.86,82.07,61.38,20.0,11.72,6.9,0.0,4.83,0.0,0.0,8.28,4.14,12.41,13.1,4.83,4.83,2.76,15.86,0.69,0.0575,0.69,2.07,2.07,3.45,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,1.38,1.38,2.76,2.76,2.07,4.83,4.14,3.45,0.69,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,2.07,0.0,1.38,0.01518151815181520,2.07,12.41,2.07,9.66,0.69,4.83,4.14,1.38,0.0,0.0,0.0,0.0,2.76,0.0,2.76,0.0,0.0,0.0,10.34,5.52,3.45,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
3,69,67.76,28.11,94.19,78.8,23.0,17.39,86.96,52.17,5.8,2.9,1.45,0.0,1.45,0.0,0.0,2.9,8.7,13.04,4.35,10.14,14.49,1.45,10.14,13.04,0.0725,1.45,0.0,2.9,5.8,0.05075253762688130,0.34773477347734800,0.058000000000000000,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,14.49,1.45,2.9,1.45,1.45,1.45,7.25,7.25,4.35,1.45,1.45,1.45,0.0,0.0,0.0,0.0,7.25,1.45,5.8,4.35,1.45,0.0638063806380638,0.0,5.8,0.0,21.74,2.9,11.59,8.7,1.45,0.0,0.0,0.0,0.0,2.9,0.0,1.45,1.45,0.0,0.0,5.8,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,109,67.28,84.36,32.93,88.19,36.33,16.51,80.73,57.8,11.93,8.26,0.92,0.0,7.34,0.0,0.0,3.67,8.26,14.68,7.34,8.26,8.26,1.83,11.93,3.67,0.06116666666666670,3.67,1.83,2.75,3.67,0.0,0.054905490549054900,0.2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.68,1.83,0.92,1.83,7.34,0.92,4.59,2.75,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.75,1.83,0.0,0.92,0.0,0.0,7.34,2.75,12.84,1.83,6.42,5.5,0.92,1.83,0.0,0.0,0.0,0.92,0.0,0.92,0.0,0.0,0.0,17.43,4.59,6.42,0.0,0.0,0.0,0.0,0.92,0.0,0.0,5.5,0.0
5,133,33.11,11.46,73.74,54.07,19.0,19.55,90.98,60.15,16.54,9.02,8.27,0.0,0.75,0.0,0.0,7.52,7.52,12.03,10.53,6.77,9.77,3.01,18.05,6.77,0.050166666666666700,0.0,0.0,3.01,4.51,0.052502625131256600,0.09030903090309030,0.07520000000000000,0.0,1.5,0.0,0.0,0.0,0.75,0.0,0.75,18.05,1.5,1.5,0.75,6.77,3.76,5.26,3.01,2.26,0.75,0.0,0.75,0.75,0.0,0.0,0.0,5.26,0.0,3.01,0.0,2.26,0.0,3.01,16.54,1.5,10.53,3.01,3.01,5.26,3.01,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,8.27,4.51,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,99,54.98,23.97,64.52,80.64,9.0,17.17,86.87,54.55,10.1,5.05,1.01,0.0,4.04,0.0,0.0,5.05,9.09,11.11,11.11,6.06,6.06,6.06,17.17,2.02,0.06733333333333330,1.01,1.01,2.02,5.05,0.03535176758837940,0.0,0.10100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.17,1.01,2.02,2.02,4.04,0.0,9.09,2.02,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,0.0,5.05,1.01,0.0,0.04444444444444440,0.0,16.16,2.02,14.14,2.02,8.08,4.04,2.02,0.0,1.01,0.0,0.0,3.03,0.0,2.02,0.0,0.0,0.0,16.16,11.11,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0
7,73,55.02,44.56,38.05,99.0,10.43,13.7,89.04,60.27,15.07,8.22,5.48,0.0,2.74,0.0,0.0,6.85,6.85,15.07,12.33,8.22,5.48,0.0,15.07,8.22,0.18266666666666700,0.0,0.0,0.0,12.33,0.047952397619881000,0.08220822082208220,0.0548,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,1.37,2.74,1.37,2.74,0.0,1.37,5.48,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,4.11,2.74,1.37,0.0,1.37,13.7,0.0,12.33,0.0,8.22,4.11,0.0,1.37,0.0,0.0,0.0,1.37,0.0,1.37,0.0,0.0,0.0,12.33,8.22,1.37,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0
8,120,68.59,20.24,82.75,25.77,30.0,14.17,90.0,57.5,11.67,4.17,3.33,0.83,0.0,0.0,0.0,7.5,4.17,18.33,7.5,5.83,6.67,5.0,20.0,5.0,0.02783333333333330,0.83,0.83,0.83,3.33,0.058452922646132300,0.15001500150015,0.0666,0.0,0.0,0.83,0.03735373537353740,0.0,0.0,0.0,0.0,13.33,2.5,2.5,2.5,3.33,0.83,4.17,4.17,2.5,0.83,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.83,1.67,4.17,3.33,0.055005500550055,3.33,14.17,0.0,19.17,1.67,14.17,4.17,2.5,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.0,0.0,0.0,11.67,3.33,4.17,0.0,0.0,0.83,0.0,0.0,0.0,0.0,3.33,0.0
9,62,54.54,43.59,20.84,83.22,20.67,14.52,83.87,50.0,12.9,9.68,6.45,0.0,0.0,0.0,3.23,3.23,6.45,9.68,8.06,4.84,9.68,0.0,12.9,4.84,0.05383333333333330,0.0,0.0,1.61,3.23,0.0,0.04830483048304830,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,1.61,3.23,3.23,1.61,0.0,1.61,3.23,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,3.23,0.0,1.61,0.0,3.23,9.68,0.0,9.68,1.61,4.84,4.84,6.45,0.0,0.0,0.0,0.0,4.84,0.0,4.84,0.0,0.0,0.0,9.68,4.84,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
